question,context,lang,answerable,answer_start,answer,answer_inlang
생물의 유전 정보가 담겨 있는 것은 DNA인가요?,"Deoxyribonucleic acid (DNA) is a nucleic acid containing the genetic instructions used in the development and functioning of all known living organisms. The DNA segments carrying this genetic information are called genes. Likewise, other DNA sequences have structural purposes, or are involved in regulating the use of this genetic information. Along with RNA and proteins, DNA is one of the three major macromolecules that are essential for all known forms of life.
DNA consists of two long polymers of simple units called nucleotides, with backbones made of sugars and phosphate groups joined by ester bonds. These two strands run in opposite directions to each other and are, therefore, anti-parallel. Attached to each sugar is one of four types of molecules called nucleobases (informally, bases). It is the sequence of these four nucleobases along the backbone that encodes information. This information is read using the genetic code, which specifies the sequence of the amino acids within proteins. The code is read by copying stretches of DNA into the related nucleic acid RNA in a process called transcription.
Within cells DNA is organized into long structures called chromosomes. During cell division these chromosomes are duplicated in the process of DNA replication, providing each cell its own complete set of chromosomes. Eukaryotic organisms (animals, plants, fungi, and protists) store most of their DNA inside the cell nucleus and some of their DNA in organelles, such as mitochondria or chloroplasts. In contrast, prokaryotes (bacteria and archaea) store their DNA only in the cytoplasm. Within the chromosomes, chromatin proteins such as histones compact and organize DNA. These compact structures guide the interactions between DNA and other proteins, helping control which parts of the DNA are transcribed.",ko,False,-1,no,
2018년에 북극에 마을이 있니?,"While the South Pole lies on a continental land mass, the North Pole is located in the middle of the Arctic Ocean amid waters that are almost permanently covered with constantly shifting sea ice. This makes it impractical to construct a permanent station at the North Pole (unlike the South Pole). However, the Soviet Union, and later Russia, constructed a number of manned drifting stations on a generally annual basis since 1937, some of which have passed over or very close to the Pole. Since 2002, the Russians have also annually established a base, Barneo, close to the Pole. This operates for a few weeks during early spring. Studies in the 2000s predicted that the North Pole may become seasonally ice-free because of Arctic ice shrinkage, with timescales varying from 2016 to the late 21st century or later.",ko,False,-1,no,
폐암이 치료될 수 있는가?,"If investigations confirm NSCLC, the stage is assessed to determine whether the disease is localized and amenable to surgery or if it has spread to the point where it cannot be cured surgically. CT scan and positron emission tomography are used for this determination. If mediastinal lymph node involvement is suspected, the nodes may be sampled to assist staging. Techniques used for this include transthoracic needle aspiration, transbronchial needle aspiration (with or without endobronchial ultrasound), endoscopic ultrasound with needle aspiration, mediastinoscopy, and thoracoscopy. Blood tests and pulmonary function testing are used to assess whether a person is well enough for surgery. If pulmonary function tests reveal poor respiratory reserve, surgery may not be possible.",ko,False,-1,no,
온타리오주는 캐나다에서 몇 번째로 큰 주인가?,"Ontario (; ) is one of the 13 provinces and territories of Canada and is located in east-central Canada. It is Canada's most populous province accounting for 38.3 percent of the country's population, and is the second-largest province in total area. Ontario is fourth-largest in total area when the territories of the Northwest Territories and Nunavut are included. It is home to the nation's capital city, Ottawa, and the nation's most populous city, Toronto, which is also Ontario's provincial capital.",ko,False,-1,no,
서양 고전 음악의 특징은 무엇인가?,"European art music is largely distinguished from many other non-European classical and some popular musical forms by its system of staff notation, in use since about the 11th century. Catholic monks developed the first forms of modern European musical notation in order to standardize liturgy throughout the worldwide Church. Western staff notation is used by composers to indicate to the performer the pitches (which form the melodies, basslines and chords), tempo, metre and rhythms for a piece of music. This can leave less room for practices such as improvisation and ""ad libitum"" ornamentation, which are frequently heard in non-European art music and in popular-music styles such as jazz and blues. Another difference is that whereas most popular styles adopt the song (strophic) form or a derivation of this form, classical music has been noted for its development of highly sophisticated forms of instrumental music such as the symphony, concerto, fugue, sonata, and mixed vocal and instrumental styles such as opera, cantata, and mass.",ko,False,-1,no,
DNA를 바꿀 수 있을까?,"DNA damage is distinctly different from mutation, although both are types of error in DNA. DNA damage is an abnormal chemical structure in DNA, while a mutation is a change in the sequence of standard base pairs. DNA damages cause changes in the structure of the genetic material and prevents the replication mechanism from functioning and performing properly.",ko,False,-1,no,
화석연료는 재생가능한 에너지인가?,"Renewable fuels are fuels produced from renewable resources. Examples include: biofuels (e.g. Vegetable oil used as fuel, ethanol, methanol from clean energy and carbon dioxide or biomass, and biodiesel) and Hydrogen fuel (when produced with renewable processes). This is in contrast to non-renewable fuels such as natural gas, LPG (propane), petroleum and other fossil fuels and nuclear energy. Renewable fuels can include fuels that are synthesized from renewable energy sources, such as wind and solar. Renewable fuels have gained in popularity due to their sustainability, low contributions to the carbon cycle, and in some cases lower amounts of greenhouse gases. The geo-political ramifications of these fuels are also of interest, particularly to industrialized economies which desire independence from Middle Eastern oil.",ko,False,-1,no,
체세나는 이탈리아 북부 에밀리아로마냐주에 있는 도시인가요?,"Cesena railway station () serves the city and ""comune"" of Cesena, in the region of Emilia-Romagna, northern Italy. Opened in 1861, it forms part of the Bologna–Ancona railway.",ko,False,-1,no,
레몬은 비타민으로 구성되어 있는가?,"Lemons contain numerous phytochemicals, including polyphenols, terpenes, and tannins. Lemon juice contains slightly more citric acid than lime juice (about 47 g/l), nearly twice the citric acid of grapefruit juice, and about five times the amount of citric acid found in orange juice.",ko,False,-1,no,
베이컨은 언제 사망하였는가?,"On 9 April 1626, Francis Bacon died of pneumonia while at Arundel mansion at Highgate outside London. An influential account of the circumstances of his death was given by John Aubrey's ""Brief Lives"". Aubrey's vivid account, which portrays Bacon as a martyr to experimental scientific method, had him journeying to Highgate through the snow with the King's physician when he is suddenly inspired by the possibility of using the snow to preserve meat:They were resolved they would try the experiment presently. They alighted out of the coach and went into a poor woman's house at the bottom of Highgate hill, and bought a fowl, and made the woman exenterate it.",ko,False,-1,no,
잭 더 리퍼는 전설인가?,"Jack the Ripper is the best-known name for an unidentified serial killer generally believed to have been active in the largely impoverished areas in and around the Whitechapel district of London in 1888. In both the criminal case files and contemporary journalistic accounts, the killer was called the Whitechapel Murderer and Leather Apron.",ko,False,-1,no,
개구리는 땅과 물 둘 다에서 살 수 있을까?,"The word ""amphibian"" is derived from the Ancient Greek term ἀμφίβιος (""amphíbios""), which means ""both kinds of life"", ""ἀμφί"" meaning ""of both kinds"" and ""βιος"" meaning ""life"". The term was initially used as a general adjective for animals that could live on land or in water, including seals and otters. Traditionally, the class Amphibia includes all tetrapod vertebrates that are not amniotes. Amphibia in its widest sense (""sensu lato"") was divided into three subclasses, two of which are extinct:
The actual number of species in each group depends on the taxonomic classification followed. The two most common systems are the classification adopted by the website AmphibiaWeb, University of California, Berkeley and the classification by herpetologist Darrel Frost and the American Museum of Natural History, available as the online reference database ""Amphibian Species of the World"". The numbers of species cited above follows Frost and the total number of known amphibian species is over 7,000, of which nearly 90% are frogs.",ko,False,-1,no,
메이저는 완결이 나왔는가?,"A Song of Ice and Fire is a series of epic fantasy novels by the American novelist and screenwriter George R. R. Martin. He began the first volume of the series, ""A Game of Thrones,"" in 1991, and it was published in 1996. Martin, who initially envisioned the series as a trilogy, has published five out of a planned seven volumes. The fifth and most recent volume of the series published in 2011, ""A Dance with Dragons"", took Martin six years to write. He is currently writing the sixth novel, ""The Winds of Winter"".",ko,False,-1,no,
서울 지하철 7호선 중 도시철도 구간은 장암역부터 온수역까지만 해당하나요?,"Seoul Subway Line 7 of the Seoul Metropolitan Rapid Transit Corporation was built 1990–96 (Jangam-Konkuk Univ.) and was completed August 1, 2000 (central section 17 km. Konkuk University to Sinpung); the western section between Sinpung and Onsu was put into service on February 29, 2000. This north-south line does not run through the city centre but links Gangnam directly to the northern parts of town.",ko,False,-1,no,
기축옥사는 2019년 현재에도 존재하는가?,"Joseon dynasty (also transcribed as Chosŏn or Chosun, ; officially the Kingdom of Great Joseon, ) was a Korean dynastic kingdom that lasted for approximately five centuries. It was founded by Yi Seong-gye in July 1392 and was replaced by the Korean Empire in October 1897. It was founded following the aftermath of the overthrow of Goryeo in what is today the city of Kaesong. Early on, Korea was retitled and the capital was relocated to modern-day Seoul. The kingdom's northernmost borders were expanded to the natural boundaries at the rivers of Amnok and Tuman through the subjugation of the Jurchens. Joseon was the last dynasty of Korea and its longest-ruling Confucian dynasty.",ko,False,-1,no,
ISO 8601 표준의 첫 판은 1988에 ISO 8601:1988으로 공개되었나요?,"The first edition of the ISO 8601 standard was published as ""ISO 8601:1988"" in 1988. It unified and replaced a number of older ISO standards on various aspects of date and time notation: ISO 2014, ISO 2015, ISO 2711, ISO 3307, and ISO 4031. It has been superseded by a second edition ""ISO 8601:2000"" in 2000 and by the current third edition ""ISO 8601:2004"" published on 2004-12-01. ISO 8601 was prepared by, and is under the direct responsibility of, ISO Technical Committee TC 154.",ko,False,-1,no,
우리는 나무를 사용하지 않고 종이를 만들 수 있을까?,"Pulp is a lignocellulosic fibrous material prepared by chemically or mechanically separating cellulose fibres from wood, fiber crops, waste paper, or rags. Many kinds of paper are made from wood with nothing else mixed into them. This includes newspapers, magazines and even toilet paper. Pulp is one of the most abundant raw materials .",ko,False,-1,no,
메시아닉 유대교는 독일의 유대인 학살과 연관이 있는가?,"The social and cultural movements can be seen in the Jesus movement which had its “beginning on the West Coast of the United States in the late 1960s and early 1970s and spreading primarily throughout North America, Europe, and Central America, before subsiding by the late 1980s. Members of the movement were called Jesus people, or Jesus freaks. Its predecessor, the Charismatic Movement, had already been in full swing for about a decade. It involved mainline Protestants and Roman Catholics who testified to supernatural experiences similar to those recorded in the Acts of the Apostles, especially speaking in tongues. Both these movements were calling the church back to what they called primitive Christianity and recovery of the gifts of the Spirit.” “According to author Peter Hocken, ‘The new thrust that turned Hebrew Christians into Messianic Jews was distinctly charismatic.’ This reflected the influence of the charismatic Jesus movement at the same period.”",ko,False,-1,no,
성공회는 기독교 신앙을 바르게 지탱하는 권위에 대해서 독특한 관점을 발전시켰나요?,"With the Elizabethan Settlement of 1559, the Protestant identity of the English and Irish churches was affirmed by means of parliamentary legislation which mandated allegiance and loyalty to the English Crown in all their members. The Elizabethan church began to develop distinct religious traditions, assimilating some of the theology of Reformed churches with the services in the ""Book of Common Prayer"" (which drew extensively on the Sarum Rite native to England), under the leadership and organisation of a continuing episcopate. Over the years these traditions themselves came to command adherence and loyalty. The Elizabethan Settlement stopped the radical Protestant tendencies under Edward VI by combining the more radical elements of the Second Prayer Book of 1552 with the conservative 'Catholic' First Prayer Book of 1549. From then on Protestantism was in a ""state of arrested development"" regardless of the attempts to detach the Church of England from its ""idiosyncratic anchorage in the medieval past"" by various groups which tried to push it towards a more Reformed theology and governance in the years 1560–1660. It has resolutely refused to identify decisively as Catholic or Protestant and sees it as a ""virtue"" rather than a ""handicap,"" indeed it prefers to see itself as both.
Although two important constitutive elements of what later would emerge as Anglicanism, were present in 1559 – Holy Scripture, the historic episcopate, Book of Common Prayer, the teachings of the First Four Ecumenical Councils as the yardstick of catholicity, the teaching of the Church Fathers and Catholic Bishops, and informed reason – neither the laypeople nor the clergy perceived themselves as Anglicans at the beginning of Elizabeth I's reign as there was no such identity. Neither does the term 'Via Media' appear until the 1627 to describe a Church that refused to identify itself definitely as Catholic or Protestant, "" and had decided in the end that this is virtue rather than a handicap,"" Diarmid MacCullough, The Later Reformation in England, 1990, p. 142 . ",ko,False,-1,no,
태양계의 행성들은 같은 속도로 공전하는가?,"According to current definitions, all planets must revolve around stars; thus, any potential ""rogue planets"" are excluded. In the Solar System, all the planets orbit the Sun in the same direction as the Sun rotates (counter-clockwise as seen from above the Sun's north pole). At least one extrasolar planet, WASP-17b, has been found to orbit in the opposite direction to its star's rotation. The period of one revolution of a planet's orbit is known as its sidereal period or ""year"". A planet's year depends on its distance from its star; the farther a planet is from its star, not only the longer the distance it must travel, but also the slower its speed, because it is less affected by its star's gravity. No planet's orbit is perfectly circular, and hence the distance of each varies over the course of its year. The closest approach to its star is called its periastron (perihelion in the Solar System), whereas its farthest separation from the star is called its apastron (aphelion). As a planet approaches periastron, its speed increases as it trades gravitational potential energy for kinetic energy, just as a falling object on Earth accelerates as it falls; as the planet reaches apastron, its speed decreases, just as an object thrown upwards on Earth slows down as it reaches the apex of its trajectory.",ko,False,-1,no,
인류 역사상 군인 출신 지도자는 몇 명인가?,"Although sponsored by the Ministry of Defence, the ACF is not part of the British Army or Army Reserve, and as such cadets are not subject to military 'call up'. Some cadets do, however, go on to enlist in the armed forces later in life, and many of the organisation's leaders have been cadets or have a military background.",ko,False,-1,no,
한국도 다중심언어 국가에 포함되는가?,"Korean is the official language of South Korea, and is classified by most linguists as a language isolate. Korean is not related to any Chinese languages, although it incorporates a number of words that are Chinese in origin. Additionally, Korean spoken in South Korea uses a significant number of loan words from English and other European languages. Korean uses an indigenous writing system called Hangul, created in 1446 by King Sejong to provide a convenient alternative to the Classical Chinese Hanja characters that were difficult to learn and did not fit the Korean language well. South Korea still uses some Chinese Hanja characters in limited areas, such as print media and legal documentation.",ko,False,-1,no,
"뇌는 대부분의 움직임, 행동을 관장하고, 신체의 항상성을 유지시키나요?","For any animal, survival requires maintaining a variety of parameters of bodily state within a limited range of variation: these include temperature, water content, salt concentration in the bloodstream, blood glucose levels, blood oxygen level, and others. The ability of an animal to regulate the internal environment of its body—the milieu intérieur, as pioneering physiologist Claude Bernard called it—is known as homeostasis (Greek for ""standing still""). Maintaining homeostasis is a crucial function of the brain. The basic principle that underlies homeostasis is negative feedback: any time a parameter diverges from its set-point, sensors generate an error signal that evokes a response that causes the parameter to shift back toward its optimum value. (This principle is widely used in engineering, for example in the control of temperature using a thermostat.)",ko,False,-1,no,
자본주의적 관점에서 현대의 경제는 성공한것이라 보는가?,"Market economies have existed under many forms of government and in many different times, places and cultures. Modern capitalist societies—marked by a universalization of money-based social relations, a consistently large and system-wide class of workers who must work for wages, and a capitalist class which owns the means of production—developed in Western Europe in a process that led to the Industrial Revolution. Capitalist systems with varying degrees of direct government intervention have since become dominant in the Western world and continue to spread. Over time, capitalist countries have experienced consistent economic growth and an increase in the standard of living.",ko,False,-1,no,
한국에서 도박은 합법인가?,"In March 2015, members of South Korea's National Assembly, led by the Liberty Korea Party, proposed amendments to the country's existing games industry regulation that would require games companies to release ""information on the type, composition ratio, and acquisition probability"" of items granted by loot boxes. Though the amendment did not pass, it led to attempts by the South Korean games industry to self-regulate. This has not convinced assembly members, who have continued to propose statutory regulation. However, there have been several revisions to the self-regulation (most recently, in July 2018), which now requires all video games to clearly display the payout rates of the items from the loot boxes to the player. There are also plans in the near future to expand the scope of this regulation to include other in-game purchases, such as the success rate of a paid consumable item whose purpose is to enhance another virtual item.
The Fair Trade Commission still oversees consumer issues related to loot boxes and video games; in April 2018, it issued a fine against Nexon related to its game ""Sudden Attack"" for deceptive loot box practices, as well as two smaller fines to other companies.",ko,False,-1,no,
성별은 생물학에서 암수의 구분을 말하나요?,"Gender is the range of characteristics pertaining to, and differentiating between, masculinity and femininity. Depending on the context, these characteristics may include biological sex (i.e., the state of being male, female, or an intersex variation), sex-based social structures (i.e., gender roles), or gender identity. Traditionally, people who identify as men or women or use masculine or feminine gender pronouns are using a system of gender binary whereas those who exist outside these groups fall under the umbrella terms ""non-binary"" or ""genderqueer"". Some cultures have specific gender roles that are distinct from ""man"" and ""woman,"" such as the hijras of South Asia. These are often referred to as ""third genders"".",ko,False,-1,no,
에트루리아인은 계급구분에 관한 의식이 강했나요?,"The Etruscan civilization () is the modern name given to a powerful and wealthy civilization of ancient Italy in the area corresponding roughly to Tuscany, south of the Arno river, western Umbria, northern and central Lazio, with offshoots also to the north in the Po Valley, in the current Emilia-Romagna, south-eastern Lombardy and southern Veneto, and to the south, in some areas of Campania. As distinguished by its unique language, this civilization endured from before the time of the earliest Etruscan inscriptions ( 700 BC) until its assimilation into the Roman Republic, beginning in the late 4th century BC with the Roman–Etruscan Wars.",ko,False,-1,no,
هل سلسلة هاري بوتر مخالفة لقوانين المسيحية ؟,"Religious debates over the ""Harry Potter"" series of books by J. K. Rowling are based on claims that the novels contain occult or Satanic subtexts. A number of Protestant, Catholic, and Orthodox Christians have argued against the series, as have some Shia and Sunni Muslims. Supporters of the series have said that the magic in ""Harry Potter"" bears little resemblance to occultism, being more in the vein of fairy tales such as ""Cinderella"" and ""Snow White"", or to the works of C. S. Lewis and J. R. R. Tolkien, both of whom are known for writing fantasy novels with Christian subtexts. Far from promoting a particular religion, some argue, the ""Harry Potter"" novels go out of their way to avoid discussing religion at all. However, the author of the series, J. K. Rowling, describes herself as a practising Christian, and many have noted the Christian references which she includes in the final novel ""Harry Potter and the Deathly Hallows"".",ar,False,-1,no,
هل التعليم العالي مجاني في  الولايات المتحدة؟,"According to Pew Research Center and Gallup poll surveys conducted in 2017, public opinion about US colleges has been declining, especially among Republicans and the white working class. The higher education industry has been criticized for being unnecessarily expensive, providing a difficult-to-measure service which is seen as vital but in which providers are paid for inputs instead of outputs, and which is beset with federal regulations which drive up costs, and with payments not coming from users but from third parties. In 2018, a Pew survey found that 61 percent of those polled said that US higher education was headed in the wrong direction.",ar,False,-1,no,
هل يكفي أن تعطي المرأة حق القيادة فقط في السعودية؟,"There are certain limitations to women doing business in the KSA. Although now able to drive motor vehicles, women are still required to have men swear for them in a court of law. As real estate investor Loulwa al-Saidan complained, 
For me to go to any government agency or to the court to buy or sell property, as a woman I am obligated to bring two men as witnesses to testify to my identity, and four male witnesses to testify that the first two are credible witnesses, and actually know me. Where is any woman going to find six men to go with her to the court?! It's hard for me to get my legal rights...the solution is to use one's connections, pay a bribe or be sharp-tongued.
",ar,False,-1,no,
